Date,MU
2008-09-26,4.535084247589111
2008-09-29,3.9304070472717285
2008-09-30,3.9499125480651855
2008-10-01,4.193734645843506
2008-10-02,4.369287014007568
2008-10-03,4.3302741050720215
2008-10-06,3.9596657752990723
2008-10-07,3.813372850418091
2008-10-08,3.7743608951568604
2008-10-09,3.784114122390747
2008-10-10,3.4622693061828613
2008-10-13,4.105959415435791
2008-10-14,4.398545265197754
2008-10-15,3.9596657752990723
2008-10-16,3.9499125480651855
2008-10-17,4.01818323135376
2008-10-20,4.340027332305908
2008-10-21,4.359532356262207
2008-10-22,4.232746601104736
2008-10-23,3.8231253623962402
2008-10-24,3.4622693061828613
2008-10-27,3.3062236309051514
2008-10-28,3.6475741863250732
2008-10-29,3.784114122390747
2008-10-30,4.320521831512451
2008-10-31,4.593601703643799
2008-11-03,4.5643439292907715
2008-11-04,4.856929779052734
2008-11-05,4.681378364562988
2008-11-06,4.27175760269165
2008-11-07,4.369287014007568
2008-11-10,3.8913955688476562
2008-11-11,3.6378214359283447
2008-11-12,3.023390054702759
2008-11-13,3.023390054702759
2008-11-14,2.682039976119995
2008-11-17,2.506488084793091
2008-11-18,2.3992066383361816
2008-11-19,2.0188443660736084
2008-11-20,1.6482353210449219
2008-11-21,1.8237870931625366
2008-11-24,2.0481033325195312
2008-11-25,2.204149007797241
2008-11-26,2.3309361934661865
2008-11-28,2.6722869873046875
2008-12-01,2.184643507003784
2008-12-02,2.0383501052856445
2008-12-03,1.940821647644043
2008-12-04,1.7652695178985596
2008-12-05,1.9895861148834229
2008-12-08,2.028597116470337
2008-12-09,2.1456313133239746
2008-12-10,2.0188443660736084
2008-12-11,1.8042813539505005
2008-12-12,2.0188443660736084
2008-12-15,1.8530455827713013
2008-12-16,1.9798328876495361
2008-12-17,2.116373300552368
2008-12-18,2.545499086380005
2008-12-19,2.9161086082458496
2008-12-22,2.545499086380005
2008-12-23,2.3016772270202637
2008-12-24,2.525994062423706
2008-12-26,2.525994062423706
2008-12-29,2.3016772270202637
2008-12-30,2.3797004222869873
2008-12-31,2.5747580528259277
2009-01-02,2.769815444946289
2009-01-05,3.2379539012908936
2009-01-06,3.384246349334717
2009-01-07,3.198941946029663
